assignee,dt,asset_provider_name,asset_name,disposer_name,n_case,n_dt,assign_amt_principal,repaid_amt
,2022-06-01,挖财,信喜资产,上海普陀法院-上海中聚-上海毅廉,57,1,458937.44,
,2022-06-01,WACAI,普惠资产,A-广州律控-WW,8,1,9128.82,
,2022-06-01,WACAI,普惠资产,A-新联康-WW,3,1,5260.72,
,2022-06-01,挖财,信喜资产,上海法溯,423,1,6296448.780000001,25449.15
,2022-06-01,普惠达飞,平安普惠立信达飞资产包,A-恒创信达-WW,6399,1,5.199397822E7,
,2022-06-01,浦发,浦发银行自有美利车资产,安徽冠弘,238,1,6575935.259999997,
,2022-06-01,挖财,信喜资产,内蒙法院,22,1,166078.02000000002,
,2022-06-01,浦发,浦发银行自有美利车资产,AMD_自营,7125,1,2.1200044065999988E8,
,2022-06-01,挖财,信喜资产,焦作-河南浩兴,3,1,41000.0,
,2022-06-01,挖财,信喜资产,湖南华夏恒信信用管理有限公司,513,1,2793863.490000001,
,2022-06-01,WACAI,普惠资产,AMD_一兆米,78,1,149787.18,
,2022-06-01,方舟,信喜资产,虹口法院,31,1,197931.79,
,2022-06-01,凤凰,FENGHUANG,聚宝,18818,1,1.6255204849E8,
,2022-06-01,挖财普惠,普惠资产,固安玖盛,2,1,18999.16,
,2022-06-01,PH,普惠资产,AMD_停催,30,1,54482.240000000005,
,2022-06-01,挖财普惠,普惠资产,A-鼎晟世纪-WW,14,1,13331.179999999998,
,2022-06-01,挖财,信喜资产,四川言诺,510,1,5802270.019999999,
,2022-06-01,美利,有用资产,AMD_笑康,34,1,80504.84,
,2022-06-01,信喜,信喜资产,乌市道简,200,1,1730924.8800000001,
,2022-06-01,WACAI,普惠资产,AMD_停催,39,1,58248.76000000001,
,2022-06-01,挖财,信喜资产,长沙达咨,126,1,409214.79,
,2022-06-01,挖财,信喜资产,黑龙江,1,1,15172.34,
,2022-06-01,挖财,信喜资产,AMD_梦仕,1493,1,2784388.12,
,2022-06-01,美利,有用资产,A-安徽晟鑫-WW,35,1,109091.95,
,2022-06-01,平安,平安普惠,聚宝,9968,1,99.6800000000053,
,2022-06-01,力蕴,HUACHANG,自动化运营,583,1,1.6808622709999993E7,
,2022-06-01,挖财,信喜资产,C-新浪诉调,2927,1,8605155.999999993,
,2022-06-01,信用家,信用家资产,AMD_柏胜,3,1,44645.509999999995,
,2022-06-01,挖财,信喜资产,桂林_佤仟,19,1,316659.23,
,2022-06-01,挖财,信喜资产,武汉时穆,29,1,122233.0,
,2022-06-01,方舟,信喜资产,空闲机构,178,1,889816.3900000001,
,2022-06-01,PH,普惠资产,固安玖盛,2,1,12839.48,
,2022-06-01,PH,普惠资产,A-广州律控-WW,7,1,7719.38,
,2022-06-01,信用家,信用家资产,湖南和畅,5,1,81297.88,
,2022-06-01,信用家,信用家资产,聚宝,5,1,156086.78999999998,
,2022-06-01,信用家,信用家资产,AMD_停催,12,1,697517.8,
,2022-06-01,信喜,信喜资产,四川言诺,149,1,1411311.6099999999,
,2022-06-01,PFYH,浦发银行自有美利车资产,AMD_自营,2369,1,2.304557971000001E7,
,2022-06-01,美利,有用资产,A-谨诚治信-WW,134,1,347026.26999999996,
,2022-06-01,挖财,信喜资产,锡林浩特_信博维诺攸米,22,1,106786.85,
,2022-06-01,挖财,信喜资产,宜昌雄顺,2000,1,1.501454827999999E7,
,2022-06-01,挖财,信喜资产,上海虹口法院-邦信阳律所事务所-聿颖,9,1,46142.149999999994,
